,Time,Left_motor,Right_motor
327,1637668422.3794534,1.1366275691986085,0.9759525203704834
328,1637668422.4295125,0.9521488094329834,0.6486514949798584
329,1637668422.479354,1.0949710750579835,1.0295108699798585
330,1637668422.5296133,0.6605533504486084,0.9342960262298584
331,1637668422.5792198,0.7081607723236084,0.8628848934173584
332,1637668422.629524,1.2139896297454835,1.0057071590423585
333,1637668422.6796792,0.8509830379486084,0.5772403621673584
334,1637668422.729646,0.8569339656829834,0.6962589168548584
335,1637668422.7794483,0.7557681941986084,0.6843570613861084
336,1637668422.8299837,0.7022098445892334,0.9700015926361084
337,1637668422.879536,0.4939273738861084,0.7974246883392334
338,1637668422.9297488,0.9878543758392334,1.0354617977142335
339,1637668422.9793317,0.8093265438079834,0.8033756160736084
340,1637668423.0296803,0.7141117000579834,0.7319644832611084
341,1637668423.0791953,0.6010440731048584,0.5891422176361084
342,1637668423.1298506,0.4701236629486084,0.5474857234954834
343,1637668423.1794145,0.3034976863861084,0.1368717098236084
344,1637668423.2295263,0.1606754207611084,0.005951299304142595
345,1637668423.279315,-0.07736206635832787,-0.11901856631040574
346,1637668423.3298094,-0.13092042177915575,-0.19638063848018647
347,1637668423.3793218,-0.2975464099645615,-0.20828249394893647
348,1637668423.4296064,-0.2915954822301865,-0.18447878301143647
349,1637668423.479957,-0.2558899158239365,-0.23803713262081147
350,1637668423.5293782,-0.2975464099645615,-0.39871220469474794
351,1637668423.5791304,-0.49987797617912294,-0.511779831647873
352,1637668423.6294155,-0.559387253522873,-0.571289108991623
353,1637668423.6795738,-0.761718796491623,-0.7557679152488709
354,1637668423.729672,-0.9521485304832459,-0.9938050246238709
355,1637668423.7791295,-1.178283784389496,-1.231842133998871
356,1637668423.8292456,-1.202087495326996,-1.208038423061371
357,1637668423.879369,-1.529388520717621,-1.6781618070602418
358,1637668423.929472,-1.4936830472946168,-1.8150331449508668
359,1637668423.9790168,-1.8328859281539918,-2.035217471122742
360,1637668424.0293703,-1.9757081937789918,-2.267303652763367
361,1637668424.079178,-2.142334170341492,-2.535095400810242
362,1637668424.1291184,-2.487487978935242,-2.308960146903992
363,1637668424.1789603,-2.594604678153992,-2.790985293388367
364,1637668424.2290695,-2.660064883232117,-2.814789004325867
365,1637668424.2791584,-2.7076724910736085,-3.1539920711517335
366,1637668424.3292537,-3.2135013484954835,-2.6541141414642335
367,1637668424.3789804,-3.1658939266204835,-2.7374271297454835
368,1637668424.4288158,-3.1123355770111085,-2.8266910457611085
369,1637668424.4792743,-2.8981021785736085,-3.2730106258392335
370,1637668424.5289001,-2.8385929012298585,-3.1658939266204835
371,1637668424.5789943,-2.9754642391204835,-2.7493289852142335
372,1637668424.6288404,-3.0171207332611085,-2.6541141414642335
373,1637668424.679194,-2.7612308406829835,-3.0885318660736085
374,1637668424.729165,-2.6779178524017335,-2.7731326961517335
375,1637668424.7788005,-2.9754642391204835,-2.7255252742767335
376,1637668424.8289733,-2.7969364070892335,-2.9100040340423585
377,1637668424.8790503,-2.8088382625579835,-2.5708011531829835
378,1637668424.9286997,-2.8385929012298585,-2.7612308406829835
379,1637668424.9789252,-2.6005557918548585,-2.6065067195892335
380,1637668425.0288153,-2.9040531063079835,-2.5231937313079835
381,1637668425.0789075,-2.7195743465423585,-2.7671817684173585
382,1637668425.1286683,-2.7076724910736085,-2.2911075496673585
